n_all,n_strata,RR_star_lower,RR_star_upper,response,n_triads_per_stratum,haplo_freq_most_common_allele_stratum_1,alpha,rr,RR_stratum_1,RR_stratum_2,RR_stratum_3,haplo_freq_most_common_allele_stratum_2,haplo_freq_most_common_allele_stratum_3,RR.power_Haplotype_2
2,3,1,1,mult,100,0.6,0.05,1,1,1,1,0.6,0.6,0.05
2,3,1,1,mult,100,0.65,0.05,1,1,1,1,0.65,0.65,0.05
2,3,1,1,mult,100,0.7,0.05,1,1,1,1,0.7,0.7,0.05
2,3,1,1,mult,100,0.75,0.05,1,1,1,1,0.75,0.75,0.05
2,3,1,1,mult,100,0.8,0.05,1,1,1,1,0.8,0.8,0.05
2,3,1,1,mult,100,0.85,0.05,1,1,1,1,0.85,0.85,0.05
2,3,1,1,mult,100,0.9,0.05,1,1,1,1,0.9,0.9,0.05
2,3,1,1,mult,100,0.95,0.05,1,1,1,1,0.95,0.95,0.05
2,3,1,1,mult,100,0.6,5e-5,1,1,1,1,0.6,0.6,0
2,3,1,1,mult,100,0.65,5e-5,1,1,1,1,0.65,0.65,0
2,3,1,1,mult,100,0.7,5e-5,1,1,1,1,0.7,0.7,0
2,3,1,1,mult,100,0.75,5e-5,1,1,1,1,0.75,0.75,0
2,3,1,1,mult,100,0.8,5e-5,1,1,1,1,0.8,0.8,0
2,3,1,1,mult,100,0.85,5e-5,1,1,1,1,0.85,0.85,0
2,3,1,1,mult,100,0.9,5e-5,1,1,1,1,0.9,0.9,0
2,3,1,1,mult,100,0.95,5e-5,1,1,1,1,0.95,0.95,0
2,3,1,1,mult,100,0.6,5e-6,1,1,1,1,0.6,0.6,0
2,3,1,1,mult,100,0.65,5e-6,1,1,1,1,0.65,0.65,0
2,3,1,1,mult,100,0.7,5e-6,1,1,1,1,0.7,0.7,0
2,3,1,1,mult,100,0.75,5e-6,1,1,1,1,0.75,0.75,0
2,3,1,1,mult,100,0.8,5e-6,1,1,1,1,0.8,0.8,0
2,3,1,1,mult,100,0.85,5e-6,1,1,1,1,0.85,0.85,0
2,3,1,1,mult,100,0.9,5e-6,1,1,1,1,0.9,0.9,0
2,3,1,1,mult,100,0.95,5e-6,1,1,1,1,0.95,0.95,0
2,3,1,1,mult,100,0.6,5.000000000000001e-7,1,1,1,1,0.6,0.6,0
2,3,1,1,mult,100,0.65,5.000000000000001e-7,1,1,1,1,0.65,0.65,0
2,3,1,1,mult,100,0.7,5.000000000000001e-7,1,1,1,1,0.7,0.7,0
2,3,1,1,mult,100,0.75,5.000000000000001e-7,1,1,1,1,0.75,0.75,0
2,3,1,1,mult,100,0.8,5.000000000000001e-7,1,1,1,1,0.8,0.8,0
2,3,1,1,mult,100,0.85,5.000000000000001e-7,1,1,1,1,0.85,0.85,0
2,3,1,1,mult,100,0.9,5.000000000000001e-7,1,1,1,1,0.9,0.9,0
2,3,1,1,mult,100,0.95,5.000000000000001e-7,1,1,1,1,0.95,0.95,0
2,3,1,1,mult,100,0.6,5e-8,1,1,1,1,0.6,0.6,0
2,3,1,1,mult,100,0.65,5e-8,1,1,1,1,0.65,0.65,0
2,3,1,1,mult,100,0.7,5e-8,1,1,1,1,0.7,0.7,0
2,3,1,1,mult,100,0.75,5e-8,1,1,1,1,0.75,0.75,0
2,3,1,1,mult,100,0.8,5e-8,1,1,1,1,0.8,0.8,0
2,3,1,1,mult,100,0.85,5e-8,1,1,1,1,0.85,0.85,0
2,3,1,1,mult,100,0.9,5e-8,1,1,1,1,0.9,0.9,0
2,3,1,1,mult,100,0.95,5e-8,1,1,1,1,0.95,0.95,0
2,3,1,1,mult,100,0.6,5e-10,1,1,1,1,0.6,0.6,0
2,3,1,1,mult,100,0.65,5e-10,1,1,1,1,0.65,0.65,0
2,3,1,1,mult,100,0.7,5e-10,1,1,1,1,0.7,0.7,0
2,3,1,1,mult,100,0.75,5e-10,1,1,1,1,0.75,0.75,0
2,3,1,1,mult,100,0.8,5e-10,1,1,1,1,0.8,0.8,0
2,3,1,1,mult,100,0.85,5e-10,1,1,1,1,0.85,0.85,0
2,3,1,1,mult,100,0.9,5e-10,1,1,1,1,0.9,0.9,0
2,3,1,1,mult,100,0.95,5e-10,1,1,1,1,0.95,0.95,0
2,3,1,1,mult,100,0.6,0.05,1.3,1.3,1,0.7692307692307692,0.6,0.6,0.35
2,3,1,1,mult,100,0.65,0.05,1.3,1.3,1,0.7692307692307692,0.65,0.65,0.33
2,3,1,1,mult,100,0.7,0.05,1.3,1.3,1,0.7692307692307692,0.7,0.7,0.31
2,3,1,1,mult,100,0.75,0.05,1.3,1.3,1,0.7692307692307692,0.75,0.75,0.28
2,3,1,1,mult,100,0.8,0.05,1.3,1.3,1,0.7692307692307692,0.8,0.8,0.24
2,3,1,1,mult,100,0.85,0.05,1.3,1.3,1,0.7692307692307692,0.85,0.85,0.2
2,3,1,1,mult,100,0.9,0.05,1.3,1.3,1,0.7692307692307692,0.9,0.9,0.15
2,3,1,1,mult,100,0.95,0.05,1.3,1.3,1,0.7692307692307692,0.95,0.95,0.1
2,3,1,1,mult,100,0.6,5e-5,1.3,1.3,1,0.7692307692307692,0.6,0.6,0.01
2,3,1,1,mult,100,0.65,5e-5,1.3,1.3,1,0.7692307692307692,0.65,0.65,0.01
2,3,1,1,mult,100,0.7,5e-5,1.3,1.3,1,0.7692307692307692,0.7,0.7,0
2,3,1,1,mult,100,0.75,5e-5,1.3,1.3,1,0.7692307692307692,0.75,0.75,0
2,3,1,1,mult,100,0.8,5e-5,1.3,1.3,1,0.7692307692307692,0.8,0.8,0
2,3,1,1,mult,100,0.85,5e-5,1.3,1.3,1,0.7692307692307692,0.85,0.85,0
2,3,1,1,mult,100,0.9,5e-5,1.3,1.3,1,0.7692307692307692,0.9,0.9,0
2,3,1,1,mult,100,0.95,5e-5,1.3,1.3,1,0.7692307692307692,0.95,0.95,0
2,3,1,1,mult,100,0.6,5e-6,1.3,1.3,1,0.7692307692307692,0.6,0.6,0
2,3,1,1,mult,100,0.65,5e-6,1.3,1.3,1,0.7692307692307692,0.65,0.65,0
2,3,1,1,mult,100,0.7,5e-6,1.3,1.3,1,0.7692307692307692,0.7,0.7,0
2,3,1,1,mult,100,0.75,5e-6,1.3,1.3,1,0.7692307692307692,0.75,0.75,0
