n_all,n_strata,RR_star_lower,RR_star_upper,response,RR_stratum_1,RR_stratum_2,RR_stratum_3,haplo_freq_most_common_allele_stratum_1,alpha,n_triads_per_stratum,haplo_freq_most_common_allele_stratum_2,haplo_freq_most_common_allele_stratum_3,RR.power_Haplotype_2
2,3,1,1,mult,3,1,0.3333333333333333,0.6,0.05,16,0.6,0.6,0.71
2,3,1,1,mult,3,1,0.3333333333333333,0.65,0.05,16,0.65,0.65,0.69
2,3,1,1,mult,3,1,0.3333333333333333,0.7,0.05,16,0.7,0.7,0.65
2,3,1,1,mult,3,1,0.3333333333333333,0.75,0.05,16,0.75,0.75,0.6
2,3,1,1,mult,3,1,0.3333333333333333,0.8,0.05,16,0.8,0.8,0.52
2,3,1,1,mult,3,1,0.3333333333333333,0.85,0.05,16,0.85,0.85,0.43
2,3,1,1,mult,3,1,0.3333333333333333,0.9,0.05,16,0.9,0.9,0.31
2,3,1,1,mult,3,1,0.3333333333333333,0.95,0.05,16,0.95,0.95,0.18
2,3,1,1,mult,3,1,0.3333333333333333,0.6,5e-5,16,0.6,0.6,0.07
2,3,1,1,mult,3,1,0.3333333333333333,0.65,5e-5,16,0.65,0.65,0.06
2,3,1,1,mult,3,1,0.3333333333333333,0.7,5e-5,16,0.7,0.7,0.05
2,3,1,1,mult,3,1,0.3333333333333333,0.75,5e-5,16,0.75,0.75,0.03
2,3,1,1,mult,3,1,0.3333333333333333,0.8,5e-5,16,0.8,0.8,0.02
2,3,1,1,mult,3,1,0.3333333333333333,0.85,5e-5,16,0.85,0.85,0.01
2,3,1,1,mult,3,1,0.3333333333333333,0.9,5e-5,16,0.9,0.9,0.01
2,3,1,1,mult,3,1,0.3333333333333333,0.95,5e-5,16,0.95,0.95,0
2,3,1,1,mult,3,1,0.3333333333333333,0.6,5e-6,16,0.6,0.6,0.02
2,3,1,1,mult,3,1,0.3333333333333333,0.65,5e-6,16,0.65,0.65,0.02
2,3,1,1,mult,3,1,0.3333333333333333,0.7,5e-6,16,0.7,0.7,0.01
2,3,1,1,mult,3,1,0.3333333333333333,0.75,5e-6,16,0.75,0.75,0.01
2,3,1,1,mult,3,1,0.3333333333333333,0.8,5e-6,16,0.8,0.8,0.01
2,3,1,1,mult,3,1,0.3333333333333333,0.85,5e-6,16,0.85,0.85,0
2,3,1,1,mult,3,1,0.3333333333333333,0.9,5e-6,16,0.9,0.9,0
2,3,1,1,mult,3,1,0.3333333333333333,0.95,5e-6,16,0.95,0.95,0
2,3,1,1,mult,3,1,0.3333333333333333,0.6,5.000000000000001e-7,16,0.6,0.6,0.01
2,3,1,1,mult,3,1,0.3333333333333333,0.65,5.000000000000001e-7,16,0.65,0.65,0.01
2,3,1,1,mult,3,1,0.3333333333333333,0.7,5.000000000000001e-7,16,0.7,0.7,0
2,3,1,1,mult,3,1,0.3333333333333333,0.75,5.000000000000001e-7,16,0.75,0.75,0
2,3,1,1,mult,3,1,0.3333333333333333,0.8,5.000000000000001e-7,16,0.8,0.8,0
2,3,1,1,mult,3,1,0.3333333333333333,0.85,5.000000000000001e-7,16,0.85,0.85,0
2,3,1,1,mult,3,1,0.3333333333333333,0.9,5.000000000000001e-7,16,0.9,0.9,0
2,3,1,1,mult,3,1,0.3333333333333333,0.95,5.000000000000001e-7,16,0.95,0.95,0
2,3,1,1,mult,3,1,0.3333333333333333,0.6,5e-8,16,0.6,0.6,0
2,3,1,1,mult,3,1,0.3333333333333333,0.65,5e-8,16,0.65,0.65,0
2,3,1,1,mult,3,1,0.3333333333333333,0.7,5e-8,16,0.7,0.7,0
2,3,1,1,mult,3,1,0.3333333333333333,0.75,5e-8,16,0.75,0.75,0
2,3,1,1,mult,3,1,0.3333333333333333,0.8,5e-8,16,0.8,0.8,0
2,3,1,1,mult,3,1,0.3333333333333333,0.85,5e-8,16,0.85,0.85,0
2,3,1,1,mult,3,1,0.3333333333333333,0.9,5e-8,16,0.9,0.9,0
2,3,1,1,mult,3,1,0.3333333333333333,0.95,5e-8,16,0.95,0.95,0
2,3,1,1,mult,3,1,0.3333333333333333,0.6,5e-10,16,0.6,0.6,0
2,3,1,1,mult,3,1,0.3333333333333333,0.65,5e-10,16,0.65,0.65,0
2,3,1,1,mult,3,1,0.3333333333333333,0.7,5e-10,16,0.7,0.7,0
2,3,1,1,mult,3,1,0.3333333333333333,0.75,5e-10,16,0.75,0.75,0
2,3,1,1,mult,3,1,0.3333333333333333,0.8,5e-10,16,0.8,0.8,0
2,3,1,1,mult,3,1,0.3333333333333333,0.85,5e-10,16,0.85,0.85,0
2,3,1,1,mult,3,1,0.3333333333333333,0.9,5e-10,16,0.9,0.9,0
